long,lat,hectare,date,age,primary_fur_color
-73.9649611089685,40.7814371834837,21F,10182018,Adult,Cinnamon
-73.9669814346326,40.780390919948,19E,10182018,Adult,Gray
-73.9728360875598,40.7660637295671,03H,10142018,Adult,Black
-73.9775067398903,40.7726566142401,07B,10082018,Adult,Gray
-73.9691094942294,40.776760392858,14E,10082018,Adult,Gray
-73.9713070217071,40.7753795014815,12E,10172018,Adult,Gray
-73.9677387336667,40.7742695912,12H,10072018,Adult,Gray
-73.9563720614251,40.7879453306251,31I,10192018,Adult,Gray
-73.9685604013735,40.7773439909065,15F,10102018,Adult,Gray
-73.9528482858163,40.7922056218325,36I,10072018,Juvenile,Cinnamon
-73.9734762649298,40.7663703404546,03H,10082018,Adult,Gray
-73.9698611971209,40.7753915552001,13F,10082018,Adult,Gray
-73.9596505138955,40.7940367734988,35C,10132018,Adult,Gray
-73.9574648097543,40.7892508428622,31H,10082018,Juvenile,Gray
-73.9728723853967,40.7670816164986,04H,10062018,Adult,Gray
-73.9723736494597,40.7669501343297,04H,10062018,Adult,Gray
-73.9691453885964,40.7770524089712,15E,10082018,Adult,Gray
-73.9595757792683,40.7899242643847,31E,10062018,Adult,Gray
-73.9772624834791,40.7692821918543,04C,10102018,Adult,Gray
-73.9662864884789,40.7891062338302,28A,10072018,Adult,Gray
-73.969756965598,40.7786455091699,16D,10102018,Adult,Gray
-73.9724806580638,40.7710077206132,07F,10082018,Juvenile,Gray
-73.9665363265054,40.7844967881001,23C,10142018,Adult,Gray
-73.9568305513017,40.7974086631267,40C,10062018,Adult,Gray
-73.9590868748584,40.7906047630418,32E,10172018,Adult,Gray
-73.9658747245917,40.7754033737532,14I,10182018,Juvenile,Gray
-73.9657040391563,40.7755567428199,15I,10082018,Adult,Cinnamon
-73.9657288055011,40.7764580036287,16H,10142018,Adult,Gray
-73.9596964641652,40.7957753591585,37B,10182018,Adult,Gray
-73.9630990823243,40.7885764284016,28D,10122018,Adult,Black
-73.9697196619878,40.7814068507607,19B,10192018,Juvenile,Gray
-73.9673490137465,40.7782728130401,17F,10202018,Adult,Gray
-73.9791085350047,40.7677025342633,02C,10132018,Adult,Gray
-73.9766693184436,40.7708879215854,06C,10202018,Adult,Gray
-73.957138759793,40.7955926035055,38D,10062018,Adult,Gray
-73.9749641575871,40.7673305056277,03F,10062018,Adult,Cinnamon
-73.9707542189896,40.7717032986885,09G,10072018,Adult,Gray
-73.9798005188704,40.7691868791734,03A,10172018,Adult,Cinnamon
-73.9654409838612,40.7901338748522,29A,10132018,Adult,Gray
-73.9679661308374,40.7837388390673,22C,10132018,Adult,Gray
-73.9707937464541,40.7725282708448,10G,10172018,Adult,Black
-73.9683066605832,40.7781213930544,16E,10182018,Adult,Gray
-73.9589475065438,40.7934846881536,35D,10132018,Adult,Gray
-73.9559520137172,40.7950536287174,38E,10102018,Adult,Gray
-73.9523001834395,40.7949231000186,39H,10072018,Adult,Gray
-73.9705254801,40.7763606494306,13E,10172018,Adult,Gray
-73.9520592496349,40.7975076299811,42G,10142018,Adult,Cinnamon
-73.9778730762957,40.770827251547,05B,10132018,Adult,Gray
-73.9669017345324,40.7766928987073,15G,10082018,Adult,Gray
-73.9708032298419,40.7784265674544,15C,10102018,Adult,Gray
-73.9610985171525,40.7913867116989,32D,10132018,Adult,Cinnamon
-73.9757001944781,40.769499790547,05E,10082018,Adult,Cinnamon
-73.959701727877,40.790660026971,32E,10072018,Adult,Black
-73.9527430510248,40.7924807950552,36I,10072018,Juvenile,Gray
-73.956502663005,40.788160908881,30I,10062018,Adult,Gray
-73.9761527947483,40.7709607002539,06C,10072018,Adult,Gray
-73.9603268255317,40.7900154505092,31E,10062018,Adult,Gray
-73.9734969320943,40.7722754599865,08E,10132018,Adult,Gray
-73.96388775887,40.7915477304252,31A,10102018,Adult,Gray
-73.9600963639087,40.7934962325313,34C,10072018,Adult,Black
-73.9714952092767,40.7748063281815,12E,10172018,Adult,Gray
-73.9564599077179,40.7965185098695,39D,10122018,Adult,Gray
-73.9634811495245,40.790705585077,30B,10072018,Adult,Gray
-73.962534856258,40.7812134517411,22H,10072018,Adult,Cinnamon
-73.9669207809051,40.7792767850126,18F,10082018,Adult,Gray
-73.9617490680298,40.7921537849244,32C,10132018,Adult,Gray
-73.9765877920583,40.7660946071574,01F,10102018,Adult,Gray
-73.9677146741772,40.7788231332337,17E,10172018,Adult,Gray
-73.9741621946917,40.7752481472025,11C,10182018,Adult,Gray
-73.9744025383371,40.7777296605765,13A,10172018,Adult,Gray
-73.9546616782922,40.790974533739,34I,10102018,Adult,Gray
-73.9690212174,40.7834099404107,21B,10172018,Juvenile,Gray
-73.9695507965155,40.7743070423435,12F,10072018,Adult,Gray
-73.9745800592393,40.767356541975,03F,10062018,Juvenile,Gray
-73.9689893412693,40.785308737683,23A,10182018,Juvenile,Gray
-73.9741846413977,40.7762518164182,12B,10182018,Adult,Gray
-73.9692563597762,40.770904999952,09H,10182018,Adult,Gray
-73.9662310606968,40.7747758221226,14I,10132018,Adult,Gray
-73.9721854790038,40.7761086352438,12C,10132018,Adult,Gray
-73.9561600237284,40.7953143196705,38E,10102018,Adult,Gray
-73.9698064901149,40.7842538115839,21A,10192018,Adult,Gray
-73.969353372175,40.7838247422369,21A,10192018,Juvenile,Gray
-73.9682627382073,40.7730766743452,11H,10102018,Adult,Cinnamon
-73.9675198230918,40.778631094685,17F,10072018,Adult,Cinnamon
-73.9755643404768,40.7697569149388,05E,10122018,Adult,Gray
-73.9691821206863,40.7763203164339,14F,10122018,Adult,Gray
-73.9767369686171,40.7735074437085,08B,10122018,Adult,Cinnamon
-73.9635689059841,40.790163434915,30B,10192018,Adult,Gray
-73.9651217998407,40.7761115392738,15I,10122018,Adult,Gray
-73.9679309130266,40.7792437838039,17E,10172018,Adult,Gray
-73.963716747038,40.7892160137944,29C,10072018,Adult,Gray
-73.9522291603405,40.7976985385835,42G,10142018,Adult,Gray
-73.9694185786221,40.7787189999566,16D,10072018,Adult,Cinnamon
-73.9606817053484,40.7917320450401,32D,10062018,Adult,Gray
-73.9694979297007,40.7694667408721,07I,10132018,Adult,Gray
-73.969847380865,40.7769884612305,14E,10082018,Adult,Gray
-73.9725947179952,40.7794481577234,16A,10132018,Adult,Gray
-73.9793103340869,40.7678201535968,01C,10132018,Adult,Gray
-73.9757249834141,40.7697032606755,05D,10182018,Juvenile,Gray
-73.9719901848577,40.7720525965356,09F,10142018,Adult,Black
-73.9632993246327,40.7888199519656,29C,10072018,Adult,Black
-73.9580813119325,40.7905538237042,32F,10082018,Adult,Gray
-73.9711001278389,40.7787466095841,15C,10172018,Adult,Gray
-73.9675697600155,40.7766797414463,15G,10192018,Adult,Gray
-73.9697924026634,40.7803611152023,18C,10182018,Juvenile,Gray
-73.9705837974358,40.7758494849673,13E,10172018,Adult,Gray
-73.9519081627768,40.7973148719421,41G,10132018,Adult,Gray
-73.9666113598566,40.7752662550312,14H,10122018,Adult,Gray
-73.9548430741605,40.798207350942,41E,10072018,Adult,Gray
-73.9653343572865,40.7775286924617,17H,10072018,Adult,Gray
-73.9613429184974,40.7912158057267,32C,10142018,Adult,Gray
-73.9739737592602,40.7727130476777,09D,10082018,Adult,Gray
-73.9786310308892,40.7669349368183,01D,10062018,Adult,Cinnamon
-73.9624546917649,40.7888234959792,29D,10142018,Juvenile,Gray
-73.9686907918759,40.7839462261858,22B,10132018,Adult,Cinnamon
-73.9615696577673,40.7951278622399,35A,10142018,Adult,Gray
-73.9642666013207,40.7810384867375,21G,10072018,Adult,Gray
-73.9572530843479,40.7987460430546,41B,10102018,Adult,Gray
-73.972154069981,40.7690128009722,06G,10082018,Adult,Gray
-73.9704679459444,40.7773384236212,14D,10192018,Adult,Gray
-73.9713487591577,40.7784353043714,15C,10172018,Adult,Black
-73.9719038949487,40.7703533492482,07G,10102018,Adult,Gray
-73.97296259363,40.7652601851275,01I,10122018,Juvenile,Cinnamon
-73.9801666435401,40.7686905339212,02B,10132018,Adult,Gray
-73.9648831611629,40.7801326414973,19G,10172018,Adult,Gray
-73.9671534029191,40.7810849804467,20D,10072018,Adult,Gray
-73.9576094432477,40.7965342664074,38C,10142018,Adult,Gray
-73.9744960829844,40.7652585501959,01H,10122018,Adult,Gray
-73.9690211935346,40.773038298158,11H,10102018,Adult,Gray
-73.9671813866177,40.7838640032038,22C,10062018,Juvenile,Gray
-73.9712327308512,40.7748702909218,12E,10182018,Juvenile,Cinnamon
-73.9687213827744,40.7843586374648,22B,10142018,Juvenile,Gray
-73.9646901432328,40.775995869679,15I,10122018,Adult,Gray
-73.9584835416846,40.7978213396921,39B,10142018,Adult,Gray
-73.9710991846972,40.7689827824241,06H,10202018,Adult,Gray
-73.9721897915211,40.7660434203132,03I,10102018,Adult,Gray
-73.9555724351776,40.7967602498249,39E,10182018,Adult,Gray
-73.956737220098,40.797580989255,40C,10062018,Adult,Gray
-73.97977158132,40.7706273151066,04A,10072018,Adult,Gray
-73.960237785199,40.7907831607574,32E,10172018,Adult,Black
-73.955754300682,40.79568139974,38E,10142018,Adult,Gray
-73.9777998932399,40.7709815865334,05B,10132018,Adult,Gray
-73.9632868561794,40.7907806312915,30B,10072018,Adult,Gray
-73.9649866016038,40.7764929694457,16I,10082018,Adult,Cinnamon
-73.96660639702,40.7756655031741,14H,10072018,Juvenile,Gray
-73.9708798496132,40.7761532088521,13D,10142018,Adult,Gray
-73.954499539822,40.7949716693686,38F,10182018,Adult,Cinnamon
-73.9610388059192,40.79395293584,34B,10072018,Adult,Gray
-73.9702755805141,40.7783547795222,16D,10102018,Adult,Gray
-73.9704015859639,40.7825600069973,19A,10132018,Adult,Gray
-73.9618591510932,40.7921343738001,32C,10132018,Juvenile,Gray
-73.9712527809516,40.7763310392591,13D,10142018,Adult,Gray
-73.9676191846985,40.777641740817,16F,10132018,Adult,Gray
-73.9520024654602,40.7947329828155,39I,10132018,Adult,Gray
-73.9763116425885,40.7688839576487,04D,10082018,Adult,Cinnamon
-73.9756754297747,40.7738518843446,09B,10132018,Juvenile,Cinnamon
-73.9710801547498,40.7760872452093,13D,10142018,Juvenile,Gray
-73.9611300905602,40.7918743735665,32C,10132018,Adult,Gray
-73.9680204438195,40.7743882322654,13H,10102018,Adult,Gray
-73.9799250782277,40.7676106598889,01B,10122018,Adult,Gray
-73.9541601469123,40.7907832744689,34I,10102018,Adult,Gray
-73.9625416200877,40.7811302397912,21H,10172018,Adult,Cinnamon
-73.9720050204318,40.7699419094168,07G,10102018,Adult,Gray
-73.9773495807135,40.7664559937331,01E,10062018,Adult,Gray
-73.9716147061553,40.7813911036179,18A,10182018,Adult,Gray
-73.9754922970511,40.7707686392991,06D,10082018,Juvenile,Gray
-73.9699876501742,40.7742482676758,12F,10072018,Adult,Gray
-73.964661337306,40.7769785494935,17I,10142018,Adult,Gray
-73.9581173730857,40.7954772170549,37D,10142018,Adult,Gray
-73.9766317094163,40.7734230472026,08B,10072018,Adult,Gray
-73.9711751356843,40.7752422758202,12E,10172018,Juvenile,Gray
-73.9593374341938,40.797258337802,38B,10182018,Adult,Cinnamon
-73.9786940945874,40.7690820276888,03B,10072018,Juvenile,Gray
-73.9735750352959,40.7694500333777,06F,10082018,Adult,Cinnamon
-73.9604083891356,40.7910284106931,32D,10132018,Adult,Gray
-73.9676529780724,40.7823206990549,21D,10082018,Adult,Gray
-73.959077668148,40.7926045823346,34D,10082018,Adult,Black
-73.9654093844049,40.7806896368469,20F,10072018,Adult,Cinnamon
-73.9576652087316,40.7875457977801,29H,10062018,Adult,Gray
-73.9576219570858,40.7963351225672,38C,10192018,Juvenile,Gray
-73.9763433202401,40.7738473490681,09B,10132018,Juvenile,Cinnamon
-73.9804065254162,40.7681481183296,01B,10192018,Adult,Gray
-73.9666521094255,40.7842753517648,23C,10142018,Adult,Gray
-73.9548006161673,40.7945503341011,38G,10202018,Adult,Gray
-73.9675917702187,40.7789922281625,17E,10172018,Adult,Gray
-73.9755560786227,40.7662992317575,02F,10062018,Adult,Gray
-73.9760298241178,40.7681954366911,03E,10082018,Adult,Gray
-73.9698130452581,40.7745000645436,12F,10072018,Adult,Gray
-73.9613701960898,40.7943363227822,35B,10132018,Adult,Gray
-73.9683479943823,40.7815827298303,20C,10182018,Juvenile,Gray
-73.9566785136491,40.7963368332834,39D,10122018,Adult,Gray
-73.9768544488742,40.7680069500977,03D,10062018,Adult,Cinnamon
-73.9720289863666,40.7763749561607,13C,10192018,Adult,Gray
-73.962524814515,40.7810022923615,21H,10182018,Adult,Gray
-73.9714907235676,40.774058386152,11E,10122018,Adult,Gray
-73.9548648518558,40.7946730924872,38F,10132018,Juvenile,Gray
-73.9745040517502,40.77333038538,09C,10062018,Adult,Gray
-73.9683883750097,40.7754344396847,13G,10082018,Juvenile,Gray
-73.9686056085297,40.7781658424866,16E,10142018,Adult,Gray
-73.9678831312936,40.7847605974975,23B,10122018,Adult,Gray
-73.9689204258063,40.7712540588951,09I,10142018,Adult,Cinnamon
-73.9767314435027,40.7661199889431,01F,10102018,Adult,Gray
-73.9635140434993,40.7912807969365,31B,10172018,Adult,Gray
-73.9629615594409,40.7924176425827,32B,10102018,Adult,Gray
-73.9630381400083,40.7807571827321,21H,10182018,Juvenile,Gray
-73.9761792189352,40.7745745517215,09A,10132018,Juvenile,Cinnamon
-73.9708083587471,40.7825429441583,19A,10132018,Adult,Gray
-73.9540652304705,40.7955226178199,39G,10132018,Adult,Gray
-73.9725700261894,40.7668793330427,03H,10142018,Adult,Gray
-73.9611696144784,40.7816692895155,22I,10072018,Adult,Gray
-73.9735533713513,40.7690605609001,05F,10072018,Adult,Gray
-73.9681664642028,40.7724669681958,11I,10122018,Adult,Gray
-73.9734741818047,40.766328451425,03H,10142018,Adult,Cinnamon
-73.9649827807341,40.7817322832767,21F,10182018,Adult,Cinnamon
-73.9618094076328,40.7944097368153,35A,10132018,Adult,Gray
-73.9718553361982,40.7748584798761,11D,10102018,Adult,Gray
-73.9771847728747,40.7695971164981,04C,10062018,Juvenile,Gray
-73.9681810466693,40.7720638449419,10I,10132018,Adult,Gray
-73.9576245992455,40.7873862510001,29H,10062018,Adult,Gray
-73.9773692131441,40.7679771150149,03D,10102018,Adult,Gray
-73.9690104245067,40.7853358193723,23A,10182018,Juvenile,Black
-73.970252675331,40.7705999588222,08H,10172018,Adult,Gray
-73.9768867959365,40.7734803954589,08B,10122018,Adult,Gray
-73.9513477815203,40.7945259614138,39I,10132018,Juvenile,Gray
-73.9719888241794,40.7667681685356,04I,10072018,Adult,Gray
-73.9711810222421,40.7773445611969,14D,10192018,Adult,Gray
-73.9745227769788,40.7673618284782,03F,10062018,Juvenile,Gray
-73.9615817859213,40.7945839663845,35A,10142018,Adult,Cinnamon
-73.9665309689616,40.7775271020244,16G,10102018,Adult,Cinnamon
-73.9657764490284,40.7811923229286,20F,10072018,Adult,Gray
-73.9758152322587,40.7692377401467,04E,10082018,Adult,Gray
-73.9593352806175,40.7918150568046,33E,10142018,Juvenile,Black
-73.9695518341907,40.7762145993937,14E,10082018,Adult,Gray
-73.9717201378775,40.776120280884,13D,10182018,Adult,Gray
-73.9775099290913,40.7697609063137,04C,10102018,Juvenile,Cinnamon
-73.9570722262693,40.7985706143519,40C,10172018,Adult,Gray
-73.9573656523498,40.7979754563974,40C,10172018,Adult,Gray
-73.963623175585,40.7927451068919,32A,10132018,Adult,Gray
-73.9788436368415,40.7691104998969,03B,10102018,Adult,Gray
-73.9679291347956,40.7846973096665,23B,10122018,Adult,Gray
-73.9699799501516,40.7736576286234,11F,10132018,Adult,Gray
-73.9549337398033,40.7946552731628,38F,10132018,Adult,Gray
-73.9584064190878,40.7912992852442,33F,10122018,Adult,Black
-73.9600204328201,40.782877291358,24I,10192018,Adult,Gray
-73.9691585756191,40.776340465695,14F,10072018,Adult,Gray
-73.9746493441414,40.7750478734868,11B,10142018,Adult,Gray
-73.9686756254868,40.7777459102651,16E,10142018,Adult,Gray
-73.9693120090055,40.771096102012,09H,10182018,Adult,Gray
-73.9600357018376,40.7906539766881,32E,10072018,Adult,Gray
-73.971213385696,40.769872094337,07H,10062018,Adult,Gray
-73.9708002461415,40.7726685284831,10F,10192018,Adult,Gray
-73.9777256989362,40.766623699564,01E,10062018,Adult,Gray
-73.9663124560664,40.779544003786,18F,10082018,Adult,Gray
-73.9629483374528,40.7936809905265,33A,10182018,Adult,Gray
-73.956581233786,40.7902127690837,33H,10192018,Adult,Cinnamon
-73.9735137178369,40.769109895294,05F,10072018,Adult,Gray
-73.9712636931964,40.77998098773,17B,10102018,Adult,Gray
-73.9612623577548,40.7911558714527,32D,10132018,Adult,Gray
-73.9703010856224,40.7701983575511,08H,10142018,Adult,Gray
-73.9678613185071,40.7822170887526,20C,10182018,Adult,Gray
-73.9547959269955,40.7925162926273,36H,10082018,Adult,Gray
-73.9773486521595,40.7708454902113,05C,10102018,Adult,Gray
-73.9772422664657,40.773436329163,08A,10132018,Juvenile,Gray
-73.9579967047318,40.7948682042252,37D,10142018,Adult,Gray
-73.9790875480358,40.7676104780657,02C,10102018,Adult,Black
-73.9594332600733,40.7960622445291,37B,10132018,Adult,Gray
-73.9775238847836,40.7675792683587,02D,10072018,Adult,Gray
-73.968891673893,40.7767001471729,15F,10072018,Adult,Gray
-73.9694784056618,40.7787735291442,16D,10102018,Adult,Gray
-73.9651177657676,40.7812408103825,20F,10072018,Juvenile,Gray
-73.9686999860219,40.7844014735136,22B,10142018,Juvenile,Gray
-73.957342596188,40.7944359654227,37E,10062018,Adult,Cinnamon
-73.9618486459307,40.7946365810826,35A,10142018,Adult,Gray
-73.9737773613311,40.7673662611015,03G,10132018,Adult,Gray
-73.9767191629692,40.7730786298701,08B,10122018,Adult,Gray
-73.9502466289084,40.7959228779883,41I,10182018,Juvenile,Gray
-73.9623621412501,40.7814673556041,22H,10072018,Adult,Gray
-73.9706641770728,40.7759229213762,13E,10172018,Adult,Gray
-73.9613747032702,40.7920483852431,33C,10072018,Adult,Gray
-73.9695572903383,40.780822981713,18C,10182018,Adult,Gray
-73.9697665830132,40.7759094917104,13E,10082018,Juvenile,Cinnamon
-73.9711865134364,40.7785039981892,15C,10102018,Adult,Gray
-73.9521110154872,40.7978449143313,42G,10182018,Adult,Gray
-73.9743184653765,40.7667932997,03G,10082018,Adult,Gray
-73.962800448652,40.7915532640139,31B,10072018,Juvenile,Gray
-73.9635290751183,40.7820936628202,22G,10182018,Adult,Gray
-73.9611434082667,40.7893671772846,30E,10082018,Adult,Gray
-73.9765417282001,40.7740994735325,09A,10132018,Juvenile,Gray
-73.9673253417305,40.7749505252981,13H,10102018,Adult,Gray
-73.967472660349,40.7772125619715,16F,10132018,Juvenile,Gray
-73.9630822385425,40.7914844989865,31B,10072018,Juvenile,Gray
-73.9696445614055,40.7791486203627,17D,10082018,Juvenile,Gray
-73.9639048209454,40.7777373345558,18I,10072018,Adult,Gray
-73.9799594281222,40.7701978146968,04A,10072018,Adult,Gray
-73.9676314068477,40.7788030406918,17E,10172018,Adult,Gray
-73.9629184712372,40.7921410511633,32B,10102018,Adult,Gray
-73.9698839750249,40.7781433076692,16D,10102018,Adult,Gray
-73.968045072743,40.7836626717225,22C,10132018,Adult,Cinnamon
-73.95912925497,40.792553028045504,34D,10082018,Adult,Black
-73.9700634278,40.7784223722453,16D,10102018,Adult,Gray
-73.9612398509782,40.7950033150385,35A,10132018,Adult,Gray
-73.9764850086767,40.7737340720562,08B,10072018,Juvenile,Gray
-73.980854228628,40.7678702158382,01B,10122018,Adult,Gray
-73.97016933635,40.7705452529783,08H,10172018,Adult,Gray
-73.9714744574918,40.7736266158925,10E,10102018,Adult,Gray
-73.9555255950648,40.7977720808005,40D,10132018,Adult,Gray
-73.9542770888881,40.7943610366853,38G,10202018,Adult,Gray
-73.9587439756541,40.7849006107353,27I,10072018,Adult,Gray
-73.9767590273554,40.7717561807266,06B,10172018,Adult,Gray
-73.970465600402,40.7701125773248,07H,10062018,Adult,Gray
-73.9748709206354,40.77608025411,11B,10142018,Adult,Gray
-73.9701596268736,40.7702106607329,08H,10142018,Adult,Gray
-73.9596820155238,40.7932886803231,34D,10072018,Adult,Gray
-73.9704831177035,40.7699878995692,07H,10062018,Adult,Gray
-73.9681874036914,40.7817948690964,20C,10182018,Adult,Gray
-73.9594204646985,40.7905923765213,32E,10172018,Adult,Gray
-73.9768096953647,40.7708185213129,05C,10102018,Adult,Cinnamon
-73.9692943291611,40.7769536102488,15E,10132018,Adult,Gray
-73.975809362521,40.7734702737835,08B,10122018,Adult,Gray
-73.9625932664956,40.7885379477349,29D,10142018,Adult,Black
-73.9638837160341,40.7809747900833,21G,10142018,Adult,Gray
-73.9762348224648,40.7694522315322,04D,10082018,Adult,Cinnamon
-73.9656750232596,40.7833002587016,22E,10142018,Adult,Gray
-73.9810032206428,40.7681625634979,01A,10072018,Adult,Gray
-73.9597648775789,40.7903443029725,32E,10072018,Adult,Gray
-73.9730027200009,40.7798000868804,16A,10192018,Adult,Gray
-73.9791141532217,40.7714888835416,05A,10062018,Juvenile,Gray
-73.9712265022781,40.7783790991192,15C,10172018,Adult,Gray
-73.9598875541307,40.7973415580717,38A,10192018,Adult,Gray
-73.9744279648953,40.7777760612191,13A,10142018,Adult,Gray
-73.9695150319891,40.782613519363,20B,10132018,Adult,Gray
-73.9671130680114,40.7784859700171,17F,10072018,Adult,Gray
